palabra,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
usuarios,-0.012283826,-0.20628567,0.032605536,-0.024641022,0.43501523,-0.18814981,-0.022521967,0.21690595,0.5335252,0.6392447,-0.58536494,-0.023240292,1.104315,0.35395145,-0.12821513,-0.15696637,0.21744642,0.47683817,0.23780161,0.029768841,-0.15373361,0.12953274,-0.11452736,0.32598126,0.6896119,0.09493513,0.4547944,0.4305782,-0.434663,0.35604635,0.16027023,0.37078512,0.394068,0.43801484,-0.85150725,-0.017579295,-0.46010756,-0.3278435,0.18084304,-0.5588129,0.2038072,-0.58688915,-0.122233644,-0.4778145,0.42562178,-0.29442996,-0.030475728,0.09409365,0.57343125,0.17183179
permisos,-0.60982645,0.28043327,-0.28680643,0.2751926,0.6352791,-0.30178085,-0.05952336,-0.26134822,-0.15230256,0.36105907,0.010256071,-0.8075376,-0.44827518,-0.039599143,0.16391593,0.30686873,0.089408845,0.22148426,-0.16298242,0.158297,-0.67478836,0.256544,0.3902269,0.40464884,0.30426055,0.5479638,-0.24895486,0.2081952,-0.024985593,-0.39929557,0.10381226,0.60877216,0.118347436,-0.6997218,-0.09637222,0.20594855,-0.49265224,-0.62671095,-0.2694344,-0.33273694,-0.4457759,-0.39788142,-0.121221796,-0.044204302,0.042215522,-0.09562373,-0.55580384,-0.04337495,-0.031933963,-0.3813579
vertical,0.024411196,-0.25744852,-0.2883234,-0.35440952,-0.009638352,0.2986439,0.033025697,-0.048197202,0.027806247,0.19221534,-0.6957502,0.1584593,-0.037940226,-0.25812542,0.39067814,0.90612996,-0.7946422,-0.39233378,-0.26197663,0.44833177,-0.71788704,-0.84572506,0.43092993,-0.17973542,0.22815368,-0.21677803,0.27456507,-0.17873667,-0.45460683,0.2217528,0.08554648,0.0932509,-0.07008286,0.249951,-0.3324026,-0.062601045,0.37185484,0.40445545,0.07210302,-0.16592544,-0.27879307,-0.3727119,0.103916585,-0.11515668,-0.3753477,-0.17342731,0.33437163,-0.2944106,-0.07530969,0.364096
usuario,0.11250499,0.106594935,0.23245548,-0.052481007,0.43176106,-0.453561,-0.1439142,-0.21405958,-0.23673634,0.27677768,-0.702727,0.16517845,-0.21480744,-0.289009,-0.31308866,-0.099054575,-0.16183971,-0.28570524,-0.03946987,-0.29933804,-0.0027252957,0.19422993,-0.49407977,0.079943426,0.6042069,0.6046962,0.56892765,-0.2144157,-0.05254517,0.15537152,0.52491736,-0.49856198,-0.22703134,0.16779688,0.3082151,-0.2453591,-0.43904093,-0.635615,0.020771502,-0.73862106,-0.56483746,-0.61051714,-0.15825137,-0.6342646,0.44054928,-0.14728065,-0.08884938,-0.34758565,-0.28841963,-0.605763
solicitudes,-0.5379709,-0.5686217,0.3433876,-0.1687284,-0.7037605,0.3627731,0.24108586,0.15360636,-0.32292742,0.20881197,0.29246187,-0.0006687343,-0.5632353,0.15628369,-0.05916325,-0.042796217,-0.03632362,0.43712,-0.57170254,-0.06889209,0.6906365,-0.13193955,-0.28944257,0.3504985,0.44219533,0.43182734,-0.3855857,0.18654475,-0.47476894,-0.39437413,-0.4142524,0.06183454,0.2436588,0.38188967,0.426499,-0.18393536,-0.25616595,0.25934967,-0.3635042,0.40442422,-0.1477333,0.29226154,-0.2583166,0.3467516,0.030372791,0.29309434,-0.07709546,0.12266405,0.22864506,0.4392
servidor,0.13792825,0.31706664,0.16305827,-0.28887567,-0.4963418,0.069725715,0.40788427,0.3328423,0.38783962,0.41234294,-0.04611689,0.124945804,-0.6205905,0.15266058,-0.047535937,0.18667859,-0.2039181,0.19852035,0.058861356,0.41735473,-0.26429194,0.912465,-0.68287295,-0.32340023,0.63856715,-0.5747109,0.21678047,0.43827054,-0.12051542,0.09544536,-0.13884673,-0.10978958,-0.13690174,-0.05668099,0.08982229,0.34150818,-0.26494342,-0.030589115,0.027216244,0.33051047,-0.5332351,0.052450076,-0.07166874,0.45882702,-0.17627059,0.113687195,0.23122807,0.10568902,0.14027108,0.49773014
documentacian,0.33434278,-0.59168804,-0.04389183,0.017472945,-0.20499267,-0.048202872,0.32605466,-0.2673141,-0.43034115,0.41442367,0.2969185,-0.21021079,-0.9059914,0.08032908,-0.28380886,0.10868011,-0.35290226,-0.060813364,0.4134792,0.1872901,0.024082264,0.057398036,-0.038096856,-0.022074921,-0.41831207,-0.2049768,0.48517767,-0.6532917,0.11732591,-0.31856117,-0.14744875,-0.4617653,0.066922106,-1.1237788,-1.1694821,0.3411613,-0.43396845,0.42056912,-0.376513,0.26293916,0.5398276,-0.24674064,-0.7445903,-0.18762589,-0.089163914,-0.120320484,0.022333987,0.27960542,-0.51915526,-0.11828888
laboratoriopsw,-0.5403845,-0.45069873,0.03260523,0.2166974,-0.31654343,-0.04653261,0.07991487,0.08666148,-0.06909542,0.17841932,0.09773235,0.20778167,-0.5454753,-0.21045588,0.47617814,-0.09468068,-0.7299822,0.08958267,1.0112888,-0.2980806,0.12861077,-0.3689812,-0.0324316,-0.07599376,-0.13143915,-1.0180337,0.38870373,0.06979944,-0.27666214,-0.34522852,-0.32691365,-0.22326711,-0.11281985,-0.74984765,0.030678937,0.038327098,-0.11989664,0.15941547,-0.09376414,-0.3504902,0.44085824,0.23120473,-0.09284686,-0.048427127,0.5293609,0.0065576257,-0.60656637,0.25208333,-0.30922148,-0.57939196
dss,0.48308674,-0.72171295,-0.20448823,-0.05331888,0.27804133,-0.43960074,0.34682846,-0.11699558,-0.014988231,0.33459318,0.26093718,-0.09097829,-0.027565999,-0.10283142,-0.046745468,-0.21172242,-0.1295974,-0.3402227,0.4675991,-0.26713136,-0.22435698,-0.4027752,-0.31884146,-0.46528777,-0.1055511,-0.98691434,0.2551548,-0.06293863,-0.46613798,-0.39611092,-0.08092107,-0.22365128,0.8820632,0.03269749,0.046536572,0.19837084,-0.66795737,0.10649165,0.14815648,0.14916562,0.48450956,-0.1043813,0.20045337,0.3471714,-0.05813276,-0.49870178,-0.21071033,0.49983492,-0.29428354,-0.129284
path,0.23840898,-0.2357298,-0.037464056,0.28769654,0.2863456,-0.3932922,0.30045965,0.23180865,-0.45365152,-0.01646858,-0.040156275,-0.29974473,-0.56126803,0.40360323,-0.4899255,0.038946044,-0.39946958,-0.096718945,0.12583086,-0.015472246,0.20939253,-0.18356529,0.101701,-0.18483844,-0.38813835,-0.17741111,0.19361916,-0.7033689,0.30329296,-0.4833127,0.053652205,-0.7608279,0.35968578,-0.546801,-0.86560404,0.25715023,-0.3179358,0.058935847,-0.041841574,0.31975445,0.59141403,-0.18826523,-0.32505426,0.05706814,-0.42502055,0.068689525,0.3617154,0.38207898,0.07437428,0.034630075
